Codigo,Clave,Descripcion,Adelitas,Adelitas,San Agustin,San Agustin,Matriz,Matriz,Berriozabal,Berriozabal,H Ilustres,H Ilustres
Codigo,Clave,Descripcion,Inv,Class,Inv,Class,Inv,Class,Inv,Class,Inv,Class
48371,TRU BOIN-1211,BOTE INTEGRAL VOLTECK BOIN-1211 12X11CM,0,Sin Mov,9,C,0,B,5,Sin Mov,0,Sin Mov
WC AUSTRAL B,HEL WC AUSTRAL B,HELVEX CER. SANITARIO AUSTRAL BOTON ELON,0,Sin Mov,5,C,3,A,0,Sin Mov,0,Sin Mov
BKMM1029,DAN BKMM1029,MONOMANDO P/FREGADERO CROMADO BKMM1029,0,Sin Mov,9,C,0,B,0,Sin Mov,0,Sin Mov
20215,TRU DUO-1/4X4BP,DESARMADOR DE 2 PZAS. 1/4 DUO-1/4X4BP P,1,A,8,A,0,A,2,A,9,C
AD0051-4,BER AD0051-4,ANTIPARASITOS PARA MADERA LITRO,6,B,3,B,0,A,3,B,9,C
000630-3,BER 630-3,PINTURA ESMALTE SUMMA 630 0.500 MEDIO,0,Sin Mov,0,Sin Mov,0,B,9,Sin Mov,0,Sin Mov
11703,TRU BVI-51/6,BROCA P/VIDRIO/AZULEJO TRUPER 7.9MM 5/1,6,Sin Mov,2,A,2,A,2,A,6,Sin Mov
48003,TRU APPA,APAGADOR D/PASO P/LAMPARA APPA VOLTECK,9,C,8,A,11,A,14,A,0,Sin Mov
115BK3CP,LGO 115BK3CP,CERRADURA GEO BALL S/LLAVE LATON 115BK 3,0,Sin Mov,8,C,0,B,4,Sin Mov,0,Sin Mov
26062,TRU ZC-024N,ZAPATO C/CASQUILLO ZC-024N PRETUL,1,C,0,C,0,A,1,Sin Mov,0,Sin Mov
46192,TRU LED-3814CE,FOCO LED VOLTECK PAR 38 L.CALIDA LED-381,0,Sin Mov,2,B,1,A,3,C,0,Sin Mov
2252,FTF RC2252,REGATON DE HULE FAMA CUADRADO 2252 1,0,Sin Mov,0,Sin Mov,0,B,8,C,0,Sin Mov
6016,IAD 6016,MINI LAMPARA INCANDESCENTE ADIR 25W,0,Sin Mov,64,B,0,B,8,C,0,Sin Mov
44076,TRU GANES-5/8,GANCHO ESLINGA FIERO 15.8MM 5/8 CAP.1000,8,Sin Mov,4,Sin Mov,3,B,7,Sin Mov,0,Sin Mov
19081,TRU CORAL-5,COPLE C/CONECTORES RAPIDOS C/5 PZAS. COR,8,C,5,B,2,A,9,C,0,Sin Mov
44098,TRU DESZ-5/32,DESTORCEDOR FIERO 3.9MM 5/32 DESZ-5/32,8,C,13,B,0,A,6,B,0,Sin Mov
101780,TRU BOME-1,BOTE MEZCLADOR DE GASOLINA Y ACEITE 1L T,8,C,1,A,2,A,5,B,0,Sin Mov
14079,TRU DP-1/4X6B,DESARMADOR BAR.RED.PHILLIPS DP-1/4X6B,8,C,4,A,3,A,0,Sin Mov,0,Sin Mov
44106,TRU DESF-1/4,DESTORCEDOR FORJADO FIERO 6.3 MM 1/4 DES,8,Sin Mov,0,Sin Mov,2,A,0,Sin Mov,0,Sin Mov
2123-4,BER 002123-4,100-ACRYL PINTURA VIN.BEREL BLANCO 2123,8,Sin Mov,0,Sin Mov,2,B,0,Sin Mov,0,Sin Mov
13329,TRU D-1224-HL,DADO STD. 1/2 D-1224-HL/D-5324-H 3/4 LAR,0,Sin Mov,7,Sin Mov,2,B,0,Sin Mov,0,Sin Mov
